Crs & Sec,CRN,Title,Cred,Days,Time,Room,Instructor,Notes,Grad. Reqs.,Seats Left
AFR-101-A,20001,Intro to Africana Studies,1,MWF,3:30 PM - 4:20 PM,CHAM 2187,Villarroel Lamoza F,,,25
AFR-200-A,20631,Research Methods,1,TR,9:40 AM - 10:55 AM,CHAM 1086,Harper-Shipman T,,,25
AFR-222-A,20586,"Race, Policing, and Justice",1,TR,1:40 PM - 2:55 PM,CUNN 109,Wooten T,,,25
AFR-224-A,20002,Race and Campus Histories,1,TR,12:15 PM - 1:30 PM,CHAM 1006,Green H,,,25
AFR-234-A,20003,"Race, Gender, and Tourism ",1,MW,2:30 PM - 3:45 PM,CHAM 3209,Gill-Sadler R,,,25
AFR-246-A,20004,Black Sexual Geographies,1,TR,3:05 PM - 4:20 PM,CUNN 109,Wooten T,,,25
AFR-255-A,20005,Approaches to African Art,1,MWF,12:30 PM - 1:20 PM,CHAM 2187,Villarroel Lamoza F,,,25
AFR-269-A,20006,Race and Homelessness,1,W,1:30 PM - 4:20 PM,SLOAN 201,Wooten T,,,25
AFR-279-A,20612,Empire & American Culture,1,MWF,10:30 AM - 11:20 AM,CHAM 2068,Gill-Sadler R,,,25
AFR-303-A,20007,W. E. B. Du Bois at Large,1,TR,8:15 AM - 9:30 AM,CHAM 3187,Green H,,,25
AFR-330-A,20008,Decolonizing Develop in Africa,1,T,1:40 PM - 4:20 PM,CHAM 1006,Harper-Shipman T,,,25
AFR-336-A,20611,Politics of Joy,1,W,1:30 PM - 4:20 PM,CUNN 111,Castaneda V,,,25
AFR-495-A,20633,Africana Capstone,1,,,,Harper-Shipman T,,,25
AFR-498-A,20699,Listening at the Margins,1,,,,Green H,,,25
ANT-210-A,20012,Maroon Societies,1,TR,12:15 PM - 1:30 PM,CHAM 2068,Brown B,,,25
ANT-234-A,20013,Urban Africa/Popular Culture,1,TR,1:40 PM - 2:55 PM,CHAM HANCE,Bowles L; Wiemers A,,,25
ANT-261-A,20564,"Science, Policy, and Society",1,MWF,10:30 AM - 11:20 AM,CUNN 109,Lozada F,,,25
ANT-263-A,20014,Racial Justice Seminar ,1,TR,9:40 AM - 10:55 AM,DANA 153,Bowles L,,,25
ANT-273-A,20015,Bioarchaeology,1,MWF,9:30 AM - 10:20 AM,CHAM 2198,Cho H,,,25
ANT-283-A,20016,Spec Topics in ANT: Folklore,1,MWF,9:30 AM - 10:20 AM,CHAM 3155,Samson M,,,25
ANT-327-A,20017,Religion in Latin America,1,MW,2:30 PM - 3:45 PM,CHAM 1096,Samson M,,,25
ANT-373-A,20018,Decolonizing Anthro Theory,1,TR,3:05 PM - 4:20 PM,CHAM 3106,Brown B,,,25
ANT-374-A,20019,Methods in Forensic Anthro,1,F,1:30 PM - 4:20 PM,CHAM 2196,Cho H,,,25
ANT-378-A,20020,Artifacts and Archives,1,W,1:30 PM - 4:20 PM,CHAM B022,Brown B,,,25
ANT-398-A,20802,Housing & Gentrification,1,,,,Bowles L,,,25
ANT-499-A,20801,Honors Thesis,1,,,,Bowles L,,,25
ARB-102-A,20021,Elementary Arabic II,1,MWF,10:30 AM - 11:20 AM,CHAM 3234,Joubin R,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
ARB-202-A,20024,Intermediate Arabic II,1,MWF,9:30 AM - 10:20 AM,CHAM 3234,Joubin R,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
ARB-295-A,20784,Politics Through NA Media,1,,,,Joubin R,,,25
ARB-394-A,20731,Arabic Media & Politics,1,,,,Joubin R,,,25
ARB-395-A,20663,Arabic and Education,1,,,,Joubin R,,,25
ARB-395-C,20695, Politics Through Satire,1,,,,Joubin R,,,25
ARB-396-A,20659,Arab Diasporic Politics,1,,,,Joubin R,,,25
ARB-396-B,20672,Accelerated Persian,1,,,,Joubin R,,,25
ARB-396-C,20812,Arabic Economics,1,,,,Joubin R,,,25
ARB-396-D,20831,Honor & Shame in Arab Society,1,,,,Joubin R,,,25
ART-101-A,20027,Basic Drawing,1,M,1:30 PM - 4:20 PM,VAC 203,Sahagun L,"[{""code"":""12+"",""description"":""First-years and Sophomores only until first day of class""}]",,25
ART-101-B,20028,Basic Drawing,1,M,1:30 PM - 4:20 PM,VAC 203,Sahagun L,"[{""code"":""34+"",""description"":""Juniors and Seniors only until the first day of class""}]",,25
ART-101-C,20029,Basic Drawing,1,TR,9:40 AM - 10:55 AM,VAC 203,Starr T,"[{""code"":""12+"",""description"":""First-years and Sophomores only until first day of class""}]",,25
ART-101-D,20030,Basic Drawing,1,TR,9:40 AM - 10:55 AM,VAC 203,Starr T,"[{""code"":""34+"",""description"":""Juniors and Seniors only until the first day of class""}]",,25
ART-104-A,20031,Asian Art After 1000,1,TR,12:15 PM - 1:30 PM,VAC 117,Zhang Y,,,25
ART-111-A,20032,Introduction to Digital Art,1,TR,9:40 AM - 10:55 AM,VAC 212,Dietrick J,"[{""code"":""12+"",""description"":""First-years and Sophomores only until first day of class""}]",,25
ART-111-B,20033,Introduction to Digital Art,1,TR,9:40 AM - 10:55 AM,VAC 212,Dietrick J,"[{""code"":""34+"",""description"":""Juniors and Seniors only until the first day of class""}]",,25
ART-203-A,20034,Advanced Painting,1,M,1:30 PM - 4:20 PM,VAC 214,St Clair K,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
ART-205-A,20035,Advanced Printmaking,1,TR,12:15 PM - 1:30 PM,VAC 104,Starr T,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
ART-211-A,20037,Advanced Digital Art,1,TR,12:15 PM - 1:30 PM,VAC 212,Dietrick J,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
ART-233-A,20587,The Arts Along the Silk Roads,1,MW,2:30 PM - 3:45 PM,VAC 117,Zhang Y,,,25
ART-248-A,20039,From Agra to Istanbul,1,TR,1:40 PM - 2:55 PM,VAC 117,Halsted L,,,25
ART-300-A,20040,Critical Theory for Vis. Stud,1,MWF,8:30 AM - 9:20 AM,VAC 108,Corso-Esquivel J,,,25
ART-301-A,20041,Topics in Sculpture,1,W,1:30 PM - 4:20 PM,VAC 106,Sahagun L,,,25
ART-301-B,20625,Topics in Sculpture,1,T,1:40 PM - 4:20 PM,VAC 106,Sahagun L,,,25
ART-348-A,20042,Buying and Collecting Art,1,TR,3:05 PM - 4:20 PM,VAC 108,Halsted L; Newman L,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
ART-390-A,20806,Independent Study,1,,,,Corso-Esquivel J,,,25
ART-390-B,20807,20th Century Art,1,,,,Corso-Esquivel J,,,25
ART-390-C,20854,Sasanian Art,1,,,,Halsted L,,,25
ART-391-B,20835,Material Study,1,,,,St Clair K,,,25
ART-391-C,20836,"Water, Ice, Paint",1,,,,St Clair K,,,25
ART-391-D,20852,Independent Study,1,,,,Sahagun L,,,25
ART-391-E,20853,Botanical Art in 21st Century,1,,,,Dietrick J,,,25
ART-393-A,20809,Senior Exhibition,1,,,,Dietrick J,,,25
ART-397-A,20043,Junior Advanced Study,1,W,1:30 PM - 4:20 PM,VAC 223,St Clair K,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
ART-496-A,20044,Senior Honors Thesis,1,MW,8:05 AM - 9:20 AM,VAC 117,Zhang Y,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
BIO-105-A,20045,Biology for Life +Lab,1,T,8:15 AM - 10:55 AM,WALL 149,Charifson D,,,25
BIO-105-B,20046,Biology for Life +Lab,1,T,1:40 PM - 4:20 PM,WALL 149,Charifson D,,,25
BIO-115-A,20047,"Molecules, Genes, & Cells +Lab",1,T,8:15 AM - 10:55 AM,WALL 104,Smith A,,,25
BIO-115-B,20048,"Molecules, Genes, & Cells +Lab",1,T,1:40 PM - 4:20 PM,WALL 104,Smith A,,,25
BIO-115-C,20049,"Molecules, Genes, & Cells +Lab",1,W,8:30 AM - 11:20 AM,WALL 104,Rosemond S,,,25
BIO-115-D,20050,"Molecules, Genes, & Cells +Lab",1,W,1:30 PM - 4:20 PM,WALL 104,Rosemond S,,,25
BIO-115-E,20051,"Molecules, Genes, & Cells +Lab",1,R,8:15 AM - 10:55 AM,WALL 104,El Bejjani R,,,25
BIO-115-F,20052,"Molecules, Genes, & Cells +Lab",1,R,1:40 PM - 4:20 PM,WALL 104,El Bejjani R,,,25
BIO-116-A,20536,"Evolution,Physiol,Ecology +Lab",1,M,1:30 PM - 4:20 PM,WALL 245,Levasseur K,"[{""code"":""B-III"",""description"":""Not open to students with credit for BIO 112/114""}]",,25
BIO-116-B,20537,"Evolution,Physiol,Ecology +Lab",1,T,1:40 PM - 4:20 PM,WALL 245,Levasseur K,"[{""code"":""B-III"",""description"":""Not open to students with credit for BIO 112/114""}]",,25
BIO-116-C,20053,"Evolution,Physiol,Ecology +Lab",1,T,8:15 AM - 10:55 AM,WALL 245,Wadgymar S,"[{""code"":""B-III"",""description"":""Not open to students with credit for BIO 112/114""}]",,25
BIO-116-D,20538,"Evolution,Physiol,Ecology +Lab",1,R,8:15 AM - 10:55 AM,WALL 245,Wadgymar S,"[{""code"":""B-III"",""description"":""Not open to students with credit for BIO 112/114""}]",,25
BIO-116-E,20539,"Evolution,Physiol,Ecology +Lab",1,W,1:30 PM - 4:20 PM,WALL 245,Paradise C,"[{""code"":""B-III"",""description"":""Not open to students with credit for BIO 112/114""}]",,25
BIO-116-F,20540,"Evolution,Physiol,Ecology +Lab",1,R,1:40 PM - 4:20 PM,WALL 245,Paradise C,"[{""code"":""B-III"",""description"":""Not open to students with credit for BIO 112/114""}]",,25
BIO-201-A,20056,Genetics +Lab,1,T,8:15 AM - 10:55 AM,WALL 316,Hales K,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
BIO-201-B,20057,Genetics +Lab,1,T,1:40 PM - 4:20 PM,WALL 316,Hales K,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
BIO-202-A,20058,Microbiology +Lab,1,T,1:40 PM - 4:20 PM,WALL 218,Wessner D,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
BIO-202-B,20059,Microbiology +Lab,1,W,1:30 PM - 4:20 PM,WALL 218,Wessner D,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
BIO-218-A,20060,Human Form and Function +Lab,1,M,1:30 PM - 4:20 PM,WALL 118,Mamoon N,"[{""code"":""DO"",""description"":""Participating in the Day One course materials program pilot. Visit the College Store's Help Center for more information.""},{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
BIO-218-B,20061,Human Form and Function +Lab,1,T,1:40 PM - 4:20 PM,WALL 118,Mamoon N,"[{""code"":""DO"",""description"":""Participating in the Day One course materials program pilot. Visit the College Store's Help Center for more information.""},{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
BIO-220-A,20062,Compar Neuroendocrinology +Lab,1,W,1:30 PM - 4:20 PM,WALL 143,Baran N,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
BIO-220-B,20063,Compar Neuroendocrinology +Lab,1,R,1:40 PM - 4:20 PM,WALL 143,Baran N,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
BIO-221-A,20064,Evolutionary Biology +Lab,1,R,1:40 PM - 4:20 PM,WALL 328,Yong L,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
BIO-221-B,20065,Evolutionary Biology +Lab,1,W,1:30 PM - 4:20 PM,WALL 328,Yong L,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
BIO-223-A,20066,Animal Behavior +Lab,1,W,1:30 PM - 4:20 PM,WALL 149,Villa S,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
BIO-223-B,20067,Animal Behavior +Lab,1,R,1:40 PM - 4:20 PM,WALL 149,Villa S,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
BIO-229-A,20068,Parasites and Pathogens,1,TR,9:40 AM - 10:55 AM,SLOAN 100,Villa S,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
BIO-234-A,20069,Marine Biology,1,MWF,1:30 PM - 2:20 PM,WALL 210,Charifson D,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
BIO-240-A,20070,Biostats for Life Scientists,1,TR,8:15 AM - 9:30 AM,WALL 106,Smith K,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
BIO-240-B,20071,Biostats for Life Scientists,1,TR,1:40 PM - 2:55 PM,WALL 106,Smith K,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
BIO-240-C,20072,Biostats for Life Scientists,1,TR,9:40 AM - 10:55 AM,WALL 380,Levasseur K,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
BIO-262-A,20073,Antiracist Physiol & Medicine,1,TR,12:15 PM - 1:30 PM,WALL 320,Barsoum M,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
BIO-269-A,20074,"Genetics, Gender, Disability",1,MW,2:30 PM - 3:45 PM,WALL 243,Hales K,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
BIO-303-A,20075,Biochemistry +Lab,1,W,1:30 PM - 4:20 PM,WALL 316,Thurtle-Schmidt B,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
BIO-303-B,20076,Biochemistry +Lab,1,R,1:40 PM - 4:20 PM,WALL 316,Thurtle-Schmidt B,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
BIO-309-A,20077,Genomics,1,MWF,9:30 AM - 10:20 AM,WALL 210,Thurtle-Schmidt D,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
BIO-343-A,20079,Laboratory Methods in Genomics,1,TR,9:40 AM - 10:55 AM,WALL B05,Thurtle-Schmidt D,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
BIO-357-A,20698,"Molec, Cell, Neurobio Research",1,MWF,1:30 PM - 2:20 PM,WALL 243,El Bejjani R,"[{""code"":""PRM"",""description"":""Permission of instructor required""}]",,25
BIO-365-A,20080,Biology of Cancer,1,TR,8:15 AM - 9:30 AM,CHAM 3234,Melonakos J,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
BIO-365-B,20599,Biology of Cancer,1,TR,9:40 AM - 10:55 AM,CHAM 3234,Melonakos J,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
BIO-370-A,20783,Directed Reading in Biology,1,,,,Melonakos J,,,25
BIO-370-B,20786,Directed Reading in Biology,1,,,,Mamoon N,,,25
BIO-371-A,20667,Research in Biology I,1,,,,Smith K,,,25
BIO-371-B,20669,Research in Biology I,1,,,,Thurtle-Schmidt B,,,25
BIO-371-C,20691,Research in Biology I,1,,,,Wadgymar S,,,25
BIO-371-D,20703,Research in Biology I,1,,,,Baran N,,,25
BIO-371-E,20706,Research in Biology I,1,,,,Yong L,,,25
BIO-371-F,20709,Research in Biology I,1,,,,Villa S,,,25
BIO-371-G,20713,Research in Biology I,1,,,,Snyder N,,,25
BIO-371-H,20736,Research in Biology I,1,,,,Ramirez J,,,25
BIO-371-I,20755,Research in Biology I,1,,,,Paradise C,,,25
BIO-371-J,20785,Research in Biology I,1,,,,Mamoon N,,,25
BIO-372-A,20670,Research in Biology II,1,,,,Thurtle-Schmidt B,,,25
BIO-372-B,20705,Research in Biology II,1,,,,Smith A,,,25
BIO-372-C,20726,Research in Biology II,1,,,,Villa S,,,25
BIO-372-D,20739,Research in Biology II,1,,,,Levasseur K,,,25
BIO-372-E,20788,Research in Biology II,1,,,,Hales K,,,25
BIO-372-F,20810,Research in Biology II,1,,,,Smith M,,,25
BIO-373-A,20689,Research in Biology III,1,,,,Thurtle-Schmidt D,,,25
BIO-373-B,20690,Research in Biology III,1,,,,Wadgymar S,,,25
BIO-373-C,20704,Research in Biology III,1,,,,Smith A,,,25
BIO-373-D,20787,Research in Biology III,1,,,,Hales K,,,25
BIO-374-A,20737,Research in Biology IV,1,,,,Smith A,,,25
BIO-379-A,20688,Thesis in Biology,1,,,,Thurtle-Schmidt B,,,25
BIO-379-B,20702,Thesis in Biology,1,,,,Baran N,,,25
BIO-379-C,20710,Thesis in Biology,1,,,,Wessner D,,,25
BIO-379-D,20725,Thesis in Biology,1,,,,Melonakos J,,,25
BIO-379-E,20780,Thesis in Biology,1,,,,Smith M,,,25
BIO-379-F,20819,Thesis in Biology,1,,,,Hales K,,,25
BIO-391-A,20600,Maternal & Fetal Health,1,TR,12:15 PM - 1:30 PM,CHAM 2234,Melonakos J,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHE-115-A,20083,Principles of Chemistry +Lab,1,M,1:30 PM - 4:20 PM,WALL 110,White T,,,25
CHE-115-B,20084,Principles of Chemistry +Lab,1,T,1:40 PM - 4:20 PM,WALL 110,White T,,,25
CHE-115-C,20085,Principles of Chemistry +Lab,1,W,1:30 PM - 4:20 PM,WALL 110,El-Zaatari B,"[{""code"":""DO"",""description"":""Participating in the Day One course materials program pilot. Visit the College Store's Help Center for more information.""}]",,25
CHE-115-D,20086,Principles of Chemistry +Lab,1,R,1:40 PM - 4:20 PM,WALL 110,El-Zaatari B,"[{""code"":""DO"",""description"":""Participating in the Day One course materials program pilot. Visit the College Store's Help Center for more information.""}]",,25
CHE-220-A,20087,Intro to Analytical Chem +Lab,1,M,1:30 PM - 4:20 PM,WALL 235,Blauch D,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHE-220-B,20088,Intro to Analytical Chem +Lab,1,T,1:40 PM - 4:20 PM,WALL 235,Blauch D,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHE-230-A,20089,Intro to Biological Chem +Lab,1,M,1:30 PM - 4:20 PM,WALL 335,Myers J,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHE-230-B,20090,Intro to Biological Chem +Lab,1,T,1:40 PM - 4:20 PM,WALL 335,Myers J,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHE-240-A,20091,Intro to Inorganic Chem +Lab,1,W,1:30 PM - 4:20 PM,WALL 235,Anstey M,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHE-240-B,20092,Intro to Inorganic Chem +Lab,1,R,1:40 PM - 4:20 PM,WALL 235,Anstey M,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHE-250-A,20093,Intro to Organic Chem +Lab,1,M,1:30 PM - 4:20 PM,WALL 310,Key H,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHE-250-B,20094,Intro to Organic Chem +Lab,1,T,8:15 AM - 10:55 AM,WALL 310,Key H,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHE-250-C,20095,Intro to Organic Chem +Lab,1,T,1:40 PM - 4:20 PM,WALL 310,Snyder N; Alexander C,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHE-250-D,20096,Intro to Organic Chem +Lab,1,W,1:30 PM - 4:20 PM,WALL 310,Snyder N; Alexander C,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHE-350-A,20097,Experimtl Organic Chem +Lab,1,R,8:15 AM - 10:55 AM,WALL 310,Burde A,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHE-350-B,20098,Experimtl Organic Chem +Lab,1,R,1:40 PM - 4:20 PM,WALL 310,Burde A,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHE-350-C,20099,Experimtl Organic Chem +Lab,1,F,8:30 AM - 11:20 AM,WALL 310,Stevens E,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHE-350-D,20100,Experimtl Organic Chem +Lab,1,F,1:30 PM - 4:20 PM,WALL 310,Stevens E,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHE-360-A,20101,Quantm Chem & Spectroscopy+Lab,1,M,1:30 PM - 4:20 PM,WALL 351,Striplin D,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHE-360-B,20102,Quantm Chem & Spectroscopy+Lab,1,T,1:40 PM - 4:20 PM,WALL 351,Striplin D,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHE-375-A,20103,Organic Spectroscopy,1,MWF,12:30 PM - 1:20 PM,WALL 307,Burde A,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHE-395-H,20764,Literature Investigation,1,,,,Anstey M,,,25
CHE-396-A,20682,Laboratory Research I,1,,,,El-Zaatari B,,,25
CHE-396-B,20685,Lab Research I: Glycoscience,1,,,,Snyder N,,,25
CHE-396-C,20718,Biocatalysis Research,1,,,,Key H,,,25
CHE-396-D,20720,Chemical Ecology Research,1,,,,Key H,,,25
CHE-396-F,20740,Polymer Research,1,,,,El-Zaatari B,,,25
CHE-396-H,20765,Exploring Iron Catalysis II,1,,,,Anstey M,,,25
CHE-396-I,20766,Laboratory Research I,1,,,,Burde A,,,25
CHE-396-J,20822,Energy Research,1,,,,Striplin D,,,25
CHE-396-K,20826,Chemical Ecology Research,1,,,,Key H,,,25
CHE-396-L,20834,Carbon Dioxide Hydrogenation,1,,,,Anstey M,,,25
CHE-396-M,20850,Phosphorus Catalyst Research,1,,,,Anstey M,,,25
CHE-397-A,20679,Lab Research II: Glycoscience,1,,,,Snyder N,,,25
CHE-397-B,20680,Polymer Research,1,,,,El-Zaatari B,,,25
CHE-397-C,20719,Enzyme Engineering Research,1,,,,Key H,,,25
CHE-397-D,20762,Laboratory Research II,1,,,,Burde A,,,25
CHE-397-E,20770,Green Chemistry Research,1,,,,Burde A,,,25
CHE-430-A,20104,Sem in Biological Chemistry,1,TR,12:15 PM - 1:30 PM,CHAM 1096,Key H,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""},{""code"":""XLST"",""description"":""Cross-listed; see course description for equivalent course (registration may be changed later if needed).""}]",,25
CHE-450-A,20541,Seminar in Organic Chemistry,1,MWF,11:30 AM - 12:20 PM,WALL 307,El-Zaatari B,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHE-495-A,20717,Biocatalysis Research IV,1,,,,Key H,,,25
CHE-496-A,20741,Senior Res. I: Glycoscience,1,,,,Snyder N,,,25
CHE-496-B,20823,Advance Inorganic Research,1,,,,Anstey M,,,25
CHE-497-A,20681,Senior Research II,1,,,,El-Zaatari B,,,25
CHE-497-B,20684,Polymer Research,1,,,,El-Zaatari B,,,25
CHE-497-C,20687,Senior Res. II: Glycoscience,1,,,,Snyder N,,,25
CHE-498-A,20683,Honors Polymer Research,1,,,,El-Zaatari B,,,25
CHE-498-B,20686,Honors Research: Glycoscience,1,,,,Snyder N,,,25
CHE-498-C,20845,Honors Thesis Research,1,,,,Key H,,,25
CHI-102-A,20106,Elementary Chinese II,1,MWF,9:30 AM - 10:20 AM,CHAM B027,Chen N,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""},{""code"":""AT"",""description"":""Students must attend one weekly AT session, meeting times TBD""}]",,25
CHI-102-B,20107,Elementary Chinese II,1,MWF,10:30 AM - 11:20 AM,CHAM B027,Chen N,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""},{""code"":""AT"",""description"":""Students must attend one weekly AT session, meeting times TBD""}]",,25
CHI-202-A,20108,Intermediate Chinese II,1,MWF,1:30 PM - 2:20 PM,CHAM 2187,Chen N,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""},{""code"":""AT"",""description"":""Students must attend one weekly AT session, meeting times TBD""}]",,25
CHI-207-A,20109,Engendering Chinese Cinema,1,W,1:30 PM - 4:20 PM,CHAM 3068,Shen V,"[{""code"":""IN-ENGL"",""description"":""In English""}]",,25
CHI-302-A,20110,Advanced Chinese II,1,TR,12:15 PM - 1:30 PM,CHAM 3209,Shen V,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""},{""code"":""AT"",""description"":""Students must attend one weekly AT session, meeting times TBD""}]",,25
CHI-451-A,20572,Advanced Chinese,1,TR,1:40 PM - 2:55 PM,CHAM 3209,Shen V,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHI-495-A,20660,Chinese Cinema,1,,,,Shen V,,,25
CIS-215-A,20571,The Art & Practice of Reading,1,MWF,10:30 AM - 12:20 PM,CHAM 1045,Snyder G,,,25
CIS-496-A,20113,Thesis II,1,,,,Crandall B,"[{""code"":""34"",""description"":""Juniors and Seniors only""}]",,25
CLA-233-A,20114,Athenian Law in Action,1,MWF,8:30 AM - 9:20 AM,CHAM 3106,Krentz P,,,25
CLA-235-A,20115,Families of Anc Mediterranean,1,MW,2:30 PM - 3:45 PM,CHAM 2068,Truetzel A,,,25
CLA-255-A,20116,Greek and Roman Athletics,1,MWF,1:30 PM - 2:20 PM,CHAM HANCE,Smith A,,,25
CLA-399-A,20813,In Search of Ariadne,1,,,,Cheshire K,,,25
CLA-456-A,20117,Coins and the Ancient Economy,1,TR,1:40 PM - 2:55 PM,CHAM 3196,Truetzel A,,,25
CLA-499-A,20828,Honors Thesis,1,,,,Cheshire K,,,25
COM-101-A,20118,Princ of Oral Communication,1,TR,9:40 AM - 10:55 AM,CHAM B027,Smith J,,,25
COM-101-B,20119,Princ of Oral Communication,1,TR,8:15 AM - 9:30 AM,CHAM B027,Smith J,,,25
COM-101-C,20120,Princ of Oral Communication,1,MWF,12:30 PM - 1:20 PM,CHAM B027,Pollard E,,,25
COM-203-A,20122,Communication Research Methods,1,MW,2:30 PM - 3:45 PM,CHAM 1003,Martinez A,,,25
COM-207-A,20123,"Politics, Race, & US Media",1,TR,1:40 PM - 2:55 PM,CHAM 1027,Bailey I,,,25
COM-230-A,20610,Organizational Communication,1,MWF,11:30 AM - 12:20 PM,CHAM 1006,Pollard E,,,25
COM-325-A,20124,Exploring Fake News,1,TR,3:05 PM - 4:20 PM,CHAM 1046,Bailey I,,,25
COM-365-A,20125,Rhetorics of Justice & Equal,1,TR,12:15 PM - 1:30 PM,CHAM 2196,Smith J,,,25
COM-390-A,20126,Research Ethics,1,F,1:30 PM - 4:20 PM,WALL 307,Bailey I,,,25
COM-495-A,20127,Comm Theory & Research,1,R,1:40 PM - 4:20 PM,CHAM 2187,Martinez A,"[{""code"":""PRM"",""description"":""Permission of instructor required""}]",,25
COM-497-A,20794,Thesis Research,1,,,,Martinez A,,,25
CSC-110-A,20128,Data Science & Society,1,MW,2:30 PM - 3:45 PM,WATSON 132,Benbow P,,,25
CSC-121-A,20129,Programming & Problem Solving,1,MW,8:05 AM - 9:20 AM,WATSON 132,Williams K,"[{""code"":""R"",""description"":""Course has restrictions; see course description""}]",,25
